"name","iso","country","entity_type","region","area","area_units","gdp","initiatives_committed","num_commit","lat","lng","population","population_year","state"
"Tona","ESP","Spain","City","Europe",127.03,"km2",NA,"GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA",3,41.8538039,2.2280115,8108,2018,"Barcelona Province"
"Tonalá","MEX","Mexico","City","Latin America and Caribbean",1766.114,"km2",NA,"GlobalCovenantofMayors2019;NAZCA",2,20.622311,-103.240832,550000,2010,"Chiapas"
"Tonara","ITA","Italy","City","Europe",52.02,"km2",NA,"EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA",3,40.01666667,9.166666667,2145,NA,"Nuoro"
"Tongeren","BEL","Belgium","City","Europe",87.56,"km2",NA,"EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA",3,50.78333333,5.466666667,30042,NA,"Limburg"
"Topoloveni","ROU","Romania","City","Europe",33.84,"km2",NA,"GlobalCovenantofMayors2019;NAZCA",2,44.8079716,25.0852836,10219,2002,"Arge<U+0219> County"
"Torà","ESP","Spain","City","Europe",93.3,"km2",NA,"GlobalCovenantofMayors2019;NAZCA",2,41.81223,1.40091,1343,2018,"Lleida"
"Tora e Piccilli","ITA","Italy","City","Europe",12.39,"km2",NA,"GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA",3,41.3469095,14.0283877,16517,NA,"Campania"
"Torano Nuovo","ITA","Italy","City","Europe",10.22,"km2",NA,"EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA",3,42.81666667,13.78333333,1692,NA,"Abruzzo"
"Torbole Casaglia","ITA","Italy","City","Europe",13.44,"km2",NA,"GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA",3,45.5053097,10.1024645,6556,NA,"Treviso"
"Torcegno","ITA","Italy","City","Europe",15.19,"km2",NA,"GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA",3,46.074307,11.449787,709,NA,"Trento"
