"name","iso","entity_type","country","area","num_commit","lat","lng","population","population_year","state","admin_1","initiatives_committed","region"
"Adeje","ESP","City","Spain","105.95",3,28.1219416,-16.7241892,46667,2018,"Santa Cruz de Tenerife","Tenerife","GCoMEuropeanCommission2021;;EUCovenantofMayors2022;;GCoM2022","Europe"
"Adelaide","AUS","City","Australia","3257.7",4,-34.92888889,138.6011111,23916,2017,"South Australia",NA,"CDPCities2022;;GCoM2022;;Carbon Neutral Cities Alliance (CNCA);;Race to Zero","East Asia and the Pacific"
"Ademuz","ESP","City","Spain","100.42",3,40.0632676,-1.2862303,1092,2018,"Valencia","RincA3n de Ademuz","GCoMEuropeanCommission2021;;EUCovenantofMayors2022;;GCoM2022","Europe"
"Adjud","ROU","City","Romania","59.1",2,46.096196,27.18219,17585,2011,"Vrancea County","Vrancea","GlobalCovenantofMayors2019;NAZCA","Europe"
"Administration commmunale de Seneffe","BEL","City","Belgium",NA,2,50.52964,4.256984,11161,NA,"Wallonia","Charleroi","GCoMEuropeanCommission2021;;GCoM2022","Europe"
"Administration communale d'Aiseau-Presles","BEL","City","Belgium",NA,2,50.41661,4.571085,10804,NA,NA,NA,"GCoMEuropeanCommission2021;;GCoM2022","Europe"
"Administration communale d'Estinnes","BEL","City","Belgium",NA,2,50.516667,4.25,2475,2018,"Wallonia","Thuin","GCoMEuropeanCommission2021;;GCoM2022","Europe"
"Administration communale de Froidchapelle","BEL","City","Belgium",NA,3,50.15097,4.329086,3939,NA,NA,NA,"GCoMEuropeanCommission2021;;EUCovenantofMayors2022;;GCoM2022","Europe"
"Administration communale de La Hulpe","BEL","City","Belgium",NA,2,50.73144,4.489032,7303,NA,NA,NA,"GCoMEuropeanCommission2021;;GCoM2022","Europe"
"Administration Communale de Tellin","BEL","City","Belgium","56.64",1,50.081667,5.218333,2468,NA,"Luxembourg","NeufchACteau","EUCovenantofMayors2021","Europe"
"Ador","ESP","City","Spain","13.8",3,38.9177071,-0.2249926,1374,2018,"Valencia","Safor","GCoMEuropeanCommission2021;;EUCovenantofMayors2022;;GCoM2022","Europe"
"Adrano","ITA","City","Italy","83.22",3,37.661966,14.8333672,35519,NA,"Catania",NA,"GCoMEuropeanCommission2021;;EUCovenantofMayors2022;;GCoM2022","Europe"
"Adria","ITA","City","Italy","113.5",2,45.05,12.05,19543,2017,"Rovigo","Veneto","GCoMEuropeanCommission2021;;GCoM2022","Europe"
"AEro","DNK","City","Denmark","91",4,54.8833,10.3333,5960,2021,"South Denmark Region","Southern Denmark","GCoMEuropeanCommission2021;;EUCovenantofMayors2022;;GCoM2022;;Race to Zero","Europe"
"Affi","ITA","City","Italy","9.88",2,45.5540914,10.7764241,1942,NA,"Verona",NA,"GCoMEuropeanCommission2021;;GCoM2022","Europe"
"Affligem","BEL","City","Belgium","17.7",3,50.9,4.1,13351,NA,"Flemish Brabant","Halle-Vilvoorde","GCoMEuropeanCommission2021;;EUCovenantofMayors2022;;GCoM2022","Europe"
"Afragola","ITA","City","Italy","17.91",2,40.923039,14.309304,63674,NA,"Naples",NA,"GCoMEuropeanCommission2021;;GCoM2022","Europe"
