name,iso,entity_type,country,area,num_commit,lat,lng,population,population_year,state,admin_1,initiatives_committed,region
Sant Joan les Fonts,ESP,City,Spain,31.9,NA,42.215,2.51389,2966,2018,Girona,Girona,EUCovenantofMayors2021;GCoM2021;GCoMHarmonized2021;GCoM2021,Europe
Sant Joanet,ESP,City,Spain,1.9,2,39.071992,-0.4869888,485,2018,Valencia,Ribera Alta,EUCovenantofMayors2021;GCoM2021,Europe
Sant Jordi Desvalls,ESP,City,Spain,11.7,3,42.07111111,2.953055556,703,2018,Catalonia,Gironès,EUCovenantofMayors2021;GCoM2021;GCoMHarmonized2021;GCoM2021,Europe
Sant Julià de Cerdanyola,ESP,City,Spain,11.8,NA,42.225559999999994,1.89389,244,2018,Barcelona,Barcelona,EUCovenantofMayors2021,Europe
Sant Julià de Ramis,ESP,City,Spain,11.1,3,42.029985,2.853814,3495,2018,Catalonia,Gironès,EUCovenantofMayors2021;GCoM2021;GCoMHarmonized2021;GCoM2021,Europe
Sant Julià de Vilatorta,ESP,City,Spain,15.9,3,41.9219404,2.3240651,3117,2018,Catalonia,Osona,EUCovenantofMayors2021;GCoM2021;GCoMHarmonized2021;GCoM2021,Europe
Sant Julià del Llor i Bonmatí,ESP,City,Spain,9.7,NA,41.97,2.665,1275,2018,Girona,Girona,EUCovenantofMayors2021;GCoM2021;GCoMHarmonized2021;GCoM2021,Europe
Sant Just Desvern,ESP,City,Spain,7.8,3,41.3815832,2.0750677,15811,2018,Barcelona Province,Baix Llobregat,EUCovenantofMayors2021;GCoM2021;GCoMHarmonized2021;GCoM2021,Europe
Sant Llorenç d'Hortons,ESP,City,Spain,19.7,NA,41.46972,1.8255599999999998,2598,2018,Barcelona,Barcelona,EUCovenantofMayors2021;GCoM2021;GCoMHarmonized2021;GCoM2021,Europe
Sant Llorenç de la Muga,ESP,City,Spain,31.8,NA,42.32083,2.7875,251,2018,Girona,Girona,EUCovenantofMayors2021,Europe
Sant llorenç de morunys,ESP,City,Spain,4.3,3,42.13861111,1.591666667,1000,2018,Catalonia,Solsonès,EUCovenantofMayors2021;GCoM2021;GCoMHarmonized2021;GCoM2021,Europe
Sant Llorenç des Cardassar,ESP,City,Spain,82.08,2,39.611324,3.285401,26496,2018,Baleares,Llevant,EUCovenantofMayors2021;GCoM2021;GCoMHarmonized2021;GCoM2021,Europe
Sant Lluís,ESP,City,Spain,34.75,3,39.84944444,4.258055556,6963,2018,Baleares,Menorca,EUCovenantofMayors2021;GCoM2021;GCoMHarmonized2021;GCoM2021,Europe
Sant Martí de Centelles,ESP,City,Spain,25.6,NA,41.76528,2.2516700000000003,1131,2018,Barcelona,Barcelona,EUCovenantofMayors2021;GCoM2021;GCoMHarmonized2021;GCoM2021,Europe
Sant Martí de Llémena,ESP,City,Spain,43.1,NA,42.038059999999994,2.64889,626,2018,Girona,Girona,EUCovenantofMayors2021;GCoM2021;GCoMHarmonized2021;GCoM2021,Europe
